id,org_name,event_name,event_description,event_start_date,event_end_date,days_of_week,start_time,end_time,more_info,fee,admission_price,site_location_name,event_photo,events_category,age_group_eligibility_tags,race_ethnicity_eligibility_tags,special_needs_eligibility_tags,sogi_eligibility_tags,language_eligibility_tags,site_address,site_phone,site_email,latitude,longitude,point,analysis_neighborhood,supervisor_district,data_as_of,data_loaded_at
40343_rpd,SF Rec Park,Peace Parks,"Peace Parks is dedicated to fostering community engagement while promoting personal growth and healthy lifestyle choices. The program offers a diverse range of activities designed to encourage physical fitness, wellness, life skills development, entrepreneurship, and job readiness. By incorporating popular activities with educational content on nutrition, hydration, and overall well-being, Peace Parks strives to create an inclusive environment where all participants can thrive.",2025/09/03 12:00:00 AM,2025/12/19 12:00:00 AM,"W,Th,F",18:00:00,21:00:00,sfrecpark.org/register,False,,HAMILTON REC CENTER,https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg,Sports & Recreation,Teens; TAY,,,,,1900 Geary Blvd (@ Steiner St),(415) 292-2111,,37.784299993787,-122.434608965383,POINT (-122.434608965 37.784299994),Japantown,5.0,2025/12/17 12:00:00 AM,2025/12/17 07:05:14 AM
41433_rpd,SF Rec Park,Softball - SFRPD - 14U Girls - Eureka Valley,"***Registration    for returning players will open on 11/5 10am and general registration will open on 11/12 10am**SF Recreation and Parks Department Spring 2026 SOFTBALL    14U Division. Individual Females ages 11 to 14(based on age on 4/30/26) can    select this Practice Location/Day/Time. Fees include one practice per week, a    uniform and entry into the League.  We    will seek Volunteer Coaches for all teams.",2026/03/05 12:00:00 AM,2026/05/14 12:00:00 AM,Th,17:30:00,18:30:00,sfrecpark.org/register,True,,EUREKA VALLEY REC CENTER,https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg,Sports & Recreation,Pre-Teens; Teens,,,Girls,,100 Collingwood St,(415) 831-6810,,37.760481000001,-122.436256500002,POINT (-122.4362565 37.760481),Castro/Upper Market,8.0,2025/12/17 12:00:00 AM,2025/12/17 07:05:14 AM
40680_rpd,SF Rec Park,Drop-in: Pickleball,"Come try your hand at pickleball, the fastest growing sport in the country.",2026/01/09 12:00:00 AM,2026/03/13 12:00:00 AM,F,16:30:00,19:30:00,sfrecpark.org/register,False,,GLEN CANYON REC CENTER,https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg,Sports & Recreation,Pre-Teens; Teens; TAY,,,,,70 Elk St,(415) 337-4705,,37.736199000001,-122.440045500002,POINT (-122.4400455 37.736199),Glen Park,8.0,2025/12/17 12:00:00 AM,2025/12/17 07:05:14 AM
39414_rpd,SF Rec Park,Drop-in: Basketball,,2025/09/03 12:00:00 AM,2025/12/31 12:00:00 AM,W,14:30:00,17:15:00,sfrecpark.org/register,False,,RICHMOND REC CENTER,https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg,Sports & Recreation,All Ages,,,,,251 - 18th Ave,(415) 666-7020,,37.783215000001,-122.477976000002,POINT (-122.477976 37.783215),Outer Richmond,1.0,2025/12/17 12:00:00 AM,2025/12/17 07:05:14 AM
39860_rpd,SF Rec Park,Archery Development - Intermediate/Advanced,"Level up    your archery skills in this exciting 6-week course, designed for young    archers! Using the USA Archery Junior Olympic Archery Development Program,    you'll learn about different bow styles, including Olympic recurve and    bowhunter compound, and challenge yourself with various distances and target    sizes. Earn achievement pins as you complete each goal, celebrating your    progress and growth. USA Archery membership is required for national    recognition.",2025/11/08 12:00:00 AM,2025/12/20 12:00:00 AM,Sa,12:00:00,13:30:00,sfrecpark.org/register,True,,GOLDEN GATE PARK ARCHERY FIELD,https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg,Sports & Recreation,Children; Pre-Teens; Teens; TAY,,,,,47th Ave & Fulton St,(415) 831-2700,,37.771497000001,-122.507766000002,POINT (-122.507766 37.771497),Outer Richmond,1.0,2025/12/17 12:00:00 AM,2025/12/17 07:05:14 AM
134141_sfpl,SF Public Library,FULL: Workshop: Holiday Tea Blending,Immerse yourself in a sensory experience as you explore the soothing world of tea. Blend your own calming and flavorful creation—perfect for gifting…,2025/12/21 12:00:00 AM,2025/12/21 12:00:00 AM,,15:00:00,16:00:00,https://sfpl.org/events/2025/12/21/full-workshop-holiday-tea-blending-0,False,,Western Addition,https://sfpl.org//sites/default/files/2025-09/24946.png,Library Events,TAY (Ages 18-24),,,,,1550 Scott Street,415-355-5727,wsamgr@sfpl.org,37.784151000001,-122.437750500002,POINT (-122.4377505 37.784151),Japantown,5.0,2025/12/17 12:00:00 AM,2025/12/17 07:05:14 AM
129672_sfpl,SF Public Library,Storytime: For Preschoolers,"Books, songs, fingerplays and more for ages 3–5.&nbsp;  Learn more about storytimes with SFPL, including current offerings, at…",2026/01/07 12:00:00 AM,2026/01/07 12:00:00 AM,,11:00:00,11:30:00,https://sfpl.org/events/2026/01/07/storytime-preschoolers,False,,Chinatown/Him Mark Lai,https://sfpl.org//sites/default/files/topics/StorytimeforPreschoolers.jpg,Library Events,"Toddlers (Ages 1-3), Pre-School (Ages 3-5)",,,,,1135 Powell Street,415-355-2888,chimgr@sfpl.org,37.795230000001,-122.410197000002,POINT (-122.410197 37.79523),Chinatown,3.0,2025/12/17 12:00:00 AM,2025/12/17 07:05:14 AM
136544_sfpl,SF Public Library,Storytime: For Babies,Space limited. Tickets available on a first come basis at the side gate entrance&nbsp;starting at 10:00am. Playtime to follow storytime.,2026/01/06 12:00:00 AM,2026/01/06 12:00:00 AM,,10:15:00,10:45:00,https://sfpl.org/events/2026/01/06/storytime-babies-4,False,,Golden Gate Valley,https://sfpl.org//sites/default/files/topics/StorytimeforBabies.jpg,Library Events,"Toddlers (Ages 1-3), Pre-School (Ages 3-5)",,,,,1801 Green Street,415-355-5666,ggvmgr@sfpl.org,37.796850000001,-122.429047500002,POINT (-122.4290475 37.79685),Marina,2.0,2025/12/17 12:00:00 AM,2025/12/17 07:05:14 AM
109966_sfpl,SF Public Library,Activity: LEGO and Magna-tiles Free Play,"Build and create with LEGO, using a collection of bricks and mini-figures, and Magna-tiles too. For children and their caregivers.&nbsp;",2025/12/17 12:00:00 AM,2025/12/17 12:00:00 AM,,15:30:00,17:00:00,https://sfpl.org/events/2025/12/17/activity-lego-and-magna-tiles-free-play,False,,Anza,https://sfpl.org//sites/default/files/topics/Science.jpg,Library Events,Children/Pre-Teens (Ages 5-13),,,,,550 37th Avenue,415-355-5717,anzmgr@sfpl.org,37.778535000001,-122.497231500002,POINT (-122.4972315 37.778535),Outer Richmond,1.0,2025/12/17 12:00:00 AM,2025/12/17 07:05:14 AM
118922_sfpl,SF Public Library,Workshop: Biblio Bistro,Learn to make delicious food using our portable kitchen. This December we will have a Biblio Bistro holiday party where we prepare a selection of…,2025/12/17 12:00:00 AM,2025/12/17 12:00:00 AM,,16:00:00,18:00:00,https://sfpl.org/events/2025/12/17/workshop-biblio-bistro,False,,Main Library,https://sfpl.org//sites/default/files/topics/Food.jpg,Library Events,"Teens (Ages 13-18), Children/Pre-Teens (Ages 5-13), Teens (Ages 13-18)",,,,,100 Larkin Street,415-557-4400,info@sfpl.org,37.779354000001,-122.415871500002,POINT (-122.4158715 37.779354),Tenderloin,5.0,2025/12/17 12:00:00 AM,2025/12/17 07:05:14 AM
123501_sfpl,SF Public Library,Book Club: Mission Bay Reader&#039;s Choice,The Mission Bay Book Club will end the year with a Reader's Choice book discussion.Come prepared to give a short talk on a book (or 2 or 3) that you…,2025/12/17 12:00:00 AM,2025/12/17 12:00:00 AM,,18:30:00,19:30:00,https://sfpl.org/events/2025/12/17/book-club-mission-bay-readers-choice,False,,Mission Bay,https://sfpl.org//sites/default/files/topics/BookClubs.jpg,Library Events,TAY (Ages 18-24),,,,,960 4th Street,415-355-2838,mbamgr@sfpl.org,37.775376000001,-122.393110500002,POINT (-122.3931105 37.775376),Mission Bay,6.0,2025/12/17 12:00:00 AM,2025/12/17 07:05:14 AM
10013647_sfdec,Gum Moon Chinatown,"Parent-Child Interactive Group Infants (Playgroup, Cantonese/English)","0-18 months Playgroup Dates: August 21, 2025 – June 30, 2026, Tuesday and Thursday Time: 10:00 AM – 12:00 PM For more information, please contact: Vivian Chan, Admin. Manager 415-788-1008 vivianchan@gummoon.org Lucy Tao, Family Advocate 415-788-1008 lucytao@gummoon.org Address: 940 Washington Street",2026/01/06 12:00:00 AM,2026/01/06 12:00:00 AM,,10:00:00,12:00:00,https://sfdec.org/event/parent-child-interactive-group-infants-playgroup-cantonese-english-2/2026-01-06/,,,940 Washington Street,,Events for Ages 0-5,Infants,,,,Chinese,940 Washington Street,415-788-1008,vivianchan@gummoon.org,37.795032000001,-122.408770500002,POINT (-122.4087705 37.795032),Chinatown,3.0,2025/12/17 12:00:00 AM,2025/12/17 07:05:14 AM
10013021_sfdec,Family Connections Centers,"Tổ Người Việt (Support Group, Vietnamese)","Tham gia nhóm người Việt của chúng tôi và kết nối với các bậc phụ huynh, ông bà và người chăm sóc khác; tham gia các hoạt động vui vẻ; và chia sẻ những ý tưởng và nguồn lực mới. Join our Vietnamese group and connect with other parents, grandparents, and caregivers; engage in fun activities; and share new ideas and resources. · Vietnamese Support Group: Tổ Người Việt (weekly) Portola: Mondays 2:30 – 3:30 pm Miễn phí/free Câu hỏi/to attend Tram, tphan@fccenters.org",2025/12/29 12:00:00 AM,2025/12/29 12:00:00 AM,,14:30:00,15:30:00,https://sfdec.org/event/to-nguoi-viet-support-group-vietnamese-2/2025-12-29/,,,2565 San Bruno Avenue,,Events for Ages 0-5,,,,,Vietnamese,2565 San Bruno Avenue,,,37.729467000001,-122.404180500002,POINT (-122.4041805 37.729467),Portola,9.0,2025/12/17 12:00:00 AM,2025/12/17 07:05:14 AM
41402_rpd,SF Rec Park,Baseball - SFYBL - Pinto Division,"**Registration will open on November 12th at 10am** SF Recreation and Parks Department and SF Fire Department Flame Athletics presents the 2026 SF Youth Baseball League Spring PINTO Division. Individual players ages 7 to 8 (based on league age guidelines) that want to sign up for a PINTO team, can select this Practice Location/Day/Time. Fees include one practice per week, a uniform, and entry into the SFYBL. We are seeking Parent Volunteers to step in as Head Coach, Assistant Coaches, and Team Parent. If you would like to create or join an Independent Team, please go to sfybl.com and click on Sign Up Information for instructions.",2026/03/03 12:00:00 AM,2026/05/15 12:00:00 AM,TBD,00:00:00,00:00:00,sfrecpark.org/register,True,,SAN FRANCISCO RECREATION & PARKS,https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg,Sports & Recreation,Children; Pre-Teens,,,,,501 Stanyan St,(415) 831-2700,,37.772208000001,-122.454477000002,POINT (-122.454477 37.772208),Golden Gate Park,1.0,2025/12/17 12:00:00 AM,2025/12/17 07:05:14 AM
40392_rpd,SF Rec Park,Fresh Start Fitness,"Ready to get moving? This is a welcoming, beginner-friendly class that blends low-impact cardio, light strength training, and fun group energy to help you build confidence and feel your best. No pressure—just progress at your pace, with all the support and good vibes you need.",2025/11/13 12:00:00 AM,2025/12/18 12:00:00 AM,Th,10:00:00,11:00:00,sfrecpark.org/register,True,,MARGARET HAYWARD PLGD,https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg,Sports & Recreation,TAY,,,,,1016 Laguna St,(415) 831-2700,,37.780875000001,-122.425479000002,POINT (-122.425479 37.780875),Western Addition,5.0,2025/12/17 12:00:00 AM,2025/12/17 07:05:14 AM
40565_rpd,SF Rec Park,Pilates - All Levels,"Pilates    is a body conditioning routine that seeks to build flexibility, strength,    endurance, and coordination without adding muscle bulk. In addition, Pilates    increases circulation and helps to sculpt the body and strengthen the body's    core or powerhouse (torso). People who do Pilates regularly feel they have    better posture, are less prone to injury, and experience better overall    health.",2026/01/08 12:00:00 AM,2026/02/26 12:00:00 AM,Th,12:00:00,13:00:00,sfrecpark.org/register,True,,UPPER NOE REC CENTER,https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg,Sports & Recreation,TAY,,,,,295 Day St @ Sanchez St,(415) 970-8061,,37.742580000001,-122.428494000002,POINT (-122.428494 37.74258),Noe Valley,8.0,2025/12/17 12:00:00 AM,2025/12/17 07:05:14 AM
40984_rpd,SF Rec Park,Adult Swim - Improving Skills and Swimming Strokes,"This class seeks to improve participants' proficiency in basic aquatic skills (including rotary breathing, surface dives and treading) and the six basic swimming strokes (i.e., front crawl, back crawl, butterfly, breaststroke, elementary backstroke and sidestroke). (The butterfly stroke is optional.) Participants also learn skills and concepts needed to stay safe around water, in addition to those needed to help themselves or others in an aquatic emergency.",2026/01/08 12:00:00 AM,2026/03/05 12:00:00 AM,Th,15:20:00,15:50:00,sfrecpark.org/register,True,,NORTH BEACH SWIMMING POOL,https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg,Sports & Recreation,TAY,,,,,651 Lombard St,(415) 391-0407,,37.802673000001,-122.412078000002,POINT (-122.412078 37.802673),North Beach,3.0,2025/12/17 12:00:00 AM,2025/12/17 07:05:14 AM
39674_rpd,SF Rec Park,Level 2,This class builds on the basic aquatic skills and water safety skills and concepts learned in level 1. Participants begin to perform skills at a slightly more advanced level and begin gaining rudimentary propulsive skills on both the front and the back. This level marks the beginning of independent aquatic locomotion skills. Prerequisite- Completion of Level 1. Children must be 48 to participate. Registration is limited to one swim class per participant.,2025/11/02 12:00:00 AM,2025/12/21 12:00:00 AM,S,09:45:00,10:15:00,sfrecpark.org/register,True,,ROSSI SWIMMING POOL,https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg,Sports & Recreation,Children; Pre-Teens; Teens; TAY,,,,,600 Arguello Blvd,(415) 666-7014,,37.779084000001,-122.458275000002,POINT (-122.458275 37.779084),Lone Mountain/USF,1.0,2025/12/17 12:00:00 AM,2025/12/17 07:05:14 AM
41411_rpd,SF Rec Park,Baseball - SFYBL - Shetland C.P.,"**Registration will open on November 12th at 10am** SF Recreation and Parks Department and SF Fire Department Flame Athletics presents the 2026 SF Youth Baseball League Spring SHETLAND COACH-PITCH Division. Individual players ages 5 to 7 (based on league age guidelines) that want to sign up for a SHETLAND COACH-PITCH team, can select this Practice Location/Day/Time. Fees include one practice per week, a uniform, and entry into the SFYBL. We are seeking Parent Volunteers to step in as Head Coach, Assistant Coaches, and Team Parent. If you would like to create or join an Independent Team, please go to sfybl.com and click on Sign Up Information for instructions.",2026/03/03 12:00:00 AM,2026/05/15 12:00:00 AM,TBD,00:00:00,00:00:00,sfrecpark.org/register,True,,,https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg,Sports & Recreation,Children,,,,,,,,,,,,,2025/12/17 12:00:00 AM,2025/12/17 07:05:14 AM
40632_rpd,SF Rec Park,Jr. Warriors Basketball  - 3rd Grade,"Welcome to our 25th Annual SFRPD All-City Jr. Warriors Youth Basketball League in San Francisco! Our Jr. Warriors League depends on the generosity of volunteers to provide an opportunity for our youth (Kindergarten - 8th Grade) to learn the game of basketball in a recreational, supportive, and safe environment. Each team will have league games (6 or more) and weekly practices. Jr. Warriors League games will be played on Thursdays, Fridays, or Saturdays at different Recreation Centers depending on grade level. If you are interested in becoming a coach/assistant coach, referee, or scorekeeper, you do not need to have a high level of experience in basketball. Our league offers an annual coaching clinic and experienced coaches who are more than happy to provide advice.",2026/01/07 12:00:00 AM,2026/02/18 12:00:00 AM,TBD,00:00:00,00:00:00,sfrecpark.org/register,True,,,https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg,Sports & Recreation,Children; Pre-Teens,,,,,,,,,,,,,2025/12/17 12:00:00 AM,2025/12/17 07:05:14 AM
41185_rpd,SF Rec Park,Jewelry - Beginner & Independent Study,"Develop  or renew your basic skills in contemporary jewelry-making. Technique will be  applied toward inventing the new as well as recreating the old. Class fee  includes the use of tools, copper and brass, and materials for one silver  introductory project. Please purchase your own silver for anything beyond  that, which can be discussed during the first class. Jewelry making requires  hand dexterity. Both beginning and intermediate level students are welcome.  The Jewelry Studio is located on the upper floor, with stair access only. For  accommodations requests or accessibility questions, please contact  rpdaccess@sfgov.org or 415-831-6841. Please note that submitting your request  at least two weeks before the beginning of the class will help ensure  availability.",2026/01/13 12:00:00 AM,2026/03/03 12:00:00 AM,T,18:30:00,21:00:00,sfrecpark.org/register,True,,SHARON ART STUDIO,https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg,Sports & Recreation,TAY,,,,,Golden Gate Park,(415) 753-7006,,,,,,,2025/12/17 12:00:00 AM,2025/12/17 07:05:14 AM
40458_rpd,SF Rec Park,Shred N' Butter,"An    Introduction to skateboarding. Learn    the basics of skateboarding from balance, pushing, turning and cruising on    low impact ramps and surfaces. We    offer a safe place for beginning skateboarders to learn how to stand on a    skateboard properly while maintaining our balance. We will cover the safety aspects and “flow”    of skating flat ground obstacles/ramps. We’ll also assist in basic skateboard maintenance and identify each    part of the skateboard. Our    instructors are certified in teaching youth and helping kids and adults    navigate their way through the fundamentals of skateboarding.",2025/10/30 12:00:00 AM,2025/12/18 12:00:00 AM,Th,16:15:00,17:15:00,sfrecpark.org/register,True,,SUNSET DUNES,https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg,Sports & Recreation,Children; Pre-Teens; Teens,,,,,Great Highway,(415) 831-2700,,,,,,,2025/12/17 12:00:00 AM,2025/12/17 07:05:14 AM
41277_rpd,SF Rec Park,Glass,"Instruction    of beginner and intermediate leaded glass techniques. Advanced students    work      on more sophisticated projects. Class fee includes introductory glass    project, use of tools and some materials.      Students will be responsible for purchasing materials for personal projects    (which can be costly). Material list      provided at first class. Glass cutting requires normal hand dexterity. New    students (new to glass or the studio)      must attend the first class to receive instruction that will not be    repeated. Advanced students: No grinding the      first 2 hours of the first class. Note: Students may enroll in only one    glass class per session. No glass fusing allowed during this class.",2026/01/07 12:00:00 AM,2026/03/04 12:00:00 AM,W,17:00:00,20:00:00,sfrecpark.org/register,True,,SHARON ART STUDIO,https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg,Sports & Recreation,TAY,,,,,Golden Gate Park,(415) 753-7006,,,,,,,2025/12/17 12:00:00 AM,2025/12/17 07:05:14 AM
